Date,Open,High,Low,Close,Adj Close,Volume
2016-09-13,105.940002,105.949997,104.290001,104.589996,100.257950,4597700
2016-09-14,104.820000,105.639999,104.599998,105.050003,100.698906,4007800
2016-09-15,104.949997,105.720001,104.699997,105.480003,101.111107,3598600
2016-09-16,105.000000,105.500000,104.580002,105.279999,100.919373,4934100
2016-09-19,105.209999,106.120003,104.919998,105.669998,101.293221,3430100
2016-09-20,106.099998,106.709999,105.959999,106.300003,101.897133,3561700
2016-09-21,106.300003,107.370003,105.879997,107.129997,102.692749,3913900
2016-09-22,107.489998,107.940002,107.309998,107.820000,103.354172,3869400
2016-09-23,107.680000,107.989998,107.040001,107.339996,102.894051,3235900
2016-09-26,107.239998,107.379997,106.870003,107.029999,102.596901,4440400
2016-09-27,107.370003,107.870003,106.730003,107.489998,103.037842,3779300
2016-09-28,107.910004,107.910004,106.860001,107.379997,102.932396,5030500
2016-09-29,109.500000,109.709999,107.709999,107.760002,103.296661,7249100
2016-09-30,108.370003,109.239998,108.370003,108.769997,104.264824,7173300
2016-10-03,108.769997,108.830002,107.470001,108.250000,103.766357,4566000
2016-10-04,108.309998,108.370003,106.580002,107.099998,102.663994,5830100
2016-10-05,107.239998,107.489998,105.690002,106.010002,101.619141,6297000
2016-10-06,105.730003,106.529999,105.459999,106.400002,101.992989,4886000
2016-10-07,106.760002,106.919998,105.650002,105.989998,101.599960,4398400
2016-10-10,106.449997,106.620003,105.820000,106.220001,101.820442,3108700
2016-10-11,106.120003,106.209999,105.000000,105.570000,101.197357,3814400
2016-10-12,105.870003,106.160004,105.500000,106.080002,101.686249,3419800
2016-10-13,105.849998,106.169998,105.290001,105.919998,101.532860,3582600
2016-10-14,106.070000,107.059998,105.779999,106.830002,102.405174,4788600
2016-10-17,106.830002,107.070000,106.559998,106.849998,102.424347,4104400
2016-10-18,107.449997,108.180000,106.940002,106.949997,102.520210,3828500
2016-10-19,106.809998,107.010002,106.080002,106.260002,101.858795,4330600
2016-10-20,106.110001,106.320000,105.580002,105.870003,101.484947,3751600
2016-10-21,106.010002,106.010002,105.269997,105.620003,101.245300,3615400
2016-10-24,106.120003,107.900002,106.120003,107.309998,102.865295,5126000
2016-10-25,107.389999,107.629997,106.809998,107.230003,102.788620,3756300
2016-10-26,107.489998,107.949997,106.949997,107.070000,102.635239,3440700
2016-10-27,107.279999,107.540001,106.300003,106.629997,102.213455,4205300
2016-10-28,106.900002,107.529999,106.519997,107.070000,102.635239,3378900
2016-10-31,107.029999,107.430000,106.919998,107.199997,102.759857,3141700
2016-11-01,107.139999,107.300003,106.120003,106.709999,102.290146,4289600
2016-11-02,106.680000,107.440002,106.610001,106.709999,102.290146,3679200
2016-11-03,107.070000,107.139999,106.519997,106.629997,102.213455,3447700
2016-11-04,106.559998,106.970001,105.809998,105.809998,101.427422,2897600
2016-11-07,106.660004,107.199997,106.379997,106.959999,102.529785,5469100
2016-11-08,106.970001,108.930000,106.970001,108.720001,104.216904,4655000
2016-11-09,106.449997,107.349998,105.000000,107.250000,102.807777,6515800
2016-11-10,106.889999,106.889999,102.400002,103.250000,98.973457,9095200
2016-11-11,103.000000,103.769997,102.570000,103.190002,98.915947,5888400
2016-11-14,102.860001,103.339996,100.449997,101.389999,97.190491,7214000
2016-11-15,101.400002,102.050003,100.820000,101.849998,97.631447,5672300
2016-11-16,102.360001,102.900002,101.470001,101.709999,97.497253,3946900
2016-11-17,101.809998,101.930000,101.180000,101.620003,97.410973,4212600
2016-11-18,101.400002,101.800003,101.180000,101.309998,97.113808,4919200
2016-11-21,101.309998,102.320000,101.309998,102.260002,98.024467,3870800
2016-11-22,102.529999,103.000000,102.440002,102.889999,98.628372,4540300
2016-11-23,102.519997,102.889999,101.459999,101.529999,97.324692,4658400
2016-11-25,102.000000,102.910004,101.739998,102.169998,97.938194,3644900
2016-11-28,102.269997,103.250000,101.900002,102.790001,98.532509,5556900
2016-11-29,102.790001,103.050003,102.300003,102.540001,98.292870,3886800
2016-11-30,101.510002,101.919998,100.099998,100.099998,96.663300,8123500
2016-12-01,99.889999,100.050003,98.500000,99.029999,95.630043,7123000
2016-12-02,99.400002,100.639999,99.400002,100.599998,97.146133,4594600
2016-12-05,100.620003,100.910004,100.120003,100.709999,97.252365,3961800
2016-12-06,101.080002,101.610001,100.809998,101.550003,98.063530,4828400
2016-12-07,101.160004,102.930000,101.160004,102.809998,99.280258,4873400
2016-12-08,102.139999,102.610001,102.000000,102.150002,98.642921,3993900
2016-12-09,102.230003,104.050003,102.040001,103.570000,100.014168,5040200
2016-12-12,103.820000,104.870003,103.669998,104.720001,101.124687,4858400
2016-12-13,104.809998,106.010002,104.680000,105.629997,102.003441,4508600
2016-12-14,105.879997,106.529999,104.209999,104.470001,100.883270,5007500
2016-12-15,104.230003,105.570000,104.230003,105.300003,101.684776,4179400
2016-12-16,105.550003,105.919998,105.129997,105.870003,102.235207,7310300
2016-12-19,105.459999,105.870003,105.129997,105.410004,101.791000,3683800
2016-12-20,104.889999,105.040001,104.370003,104.900002,101.298508,4903400
2016-12-21,104.820000,105.690002,104.690002,104.699997,101.105377,3245200
2016-12-22,104.550003,105.449997,104.250000,105.349998,101.733063,2605000
2016-12-23,104.970001,105.250000,104.629997,105.089996,101.481979,1758800
2016-12-27,105.089996,105.320000,104.989998,105.129997,101.520599,1505000
2016-12-28,104.870003,105.099998,104.519997,104.620003,101.028130,1878600
2016-12-29,104.500000,105.099998,104.480003,104.989998,101.385422,2407100
2016-12-30,104.709999,105.150002,104.330002,104.629997,101.037781,3484000
2017-01-03,104.940002,105.089996,104.209999,104.650002,101.057091,3741200
2017-01-04,105.110001,105.629997,104.790001,104.849998,101.250214,3029700
2017-01-05,104.519997,105.120003,104.190002,104.709999,101.115028,5087200
2017-01-06,104.980003,105.160004,104.120003,104.559998,100.970177,4109700
2017-01-09,104.160004,104.260002,103.250000,103.459999,99.907944,5555600
2017-01-10,103.320000,103.320000,101.750000,101.970001,98.469109,5399200
2017-01-11,101.839996,102.360001,101.410004,101.809998,98.314590,4650300
2017-01-12,101.709999,102.519997,101.580002,101.839996,98.343567,3126000
2017-01-13,101.879997,102.110001,101.220001,101.550003,98.063530,3478600
2017-01-17,101.070000,102.320000,101.059998,102.190002,98.681549,3719300
2017-01-18,102.400002,103.000000,102.320000,102.739998,99.212669,4340400
2017-01-19,102.279999,103.000000,102.169998,102.360001,98.845703,3923100
2017-01-20,102.790001,103.320000,102.440002,103.239998,99.695496,4750800
2017-01-23,102.900002,104.220001,102.830002,104.010002,100.439064,4584800
2017-01-24,104.000000,104.930000,103.779999,104.709999,101.115028,4992300
2017-01-25,104.709999,105.190002,104.540001,104.610001,101.018448,3566100
2017-01-26,104.510002,104.730003,104.070000,104.139999,100.564606,3634600
2017-01-27,104.379997,104.410004,103.430000,103.480003,99.927261,4248200
2017-01-30,103.010002,103.720001,103.000000,103.690002,100.130051,3462600
2017-01-31,103.209999,104.169998,103.209999,103.779999,100.216957,3846600
2017-02-01,103.610001,103.779999,102.980003,103.010002,99.473396,3515600
2017-02-02,103.760002,104.389999,103.290001,104.029999,100.458366,3213700
2017-02-03,104.440002,105.769997,104.059998,105.110001,101.501289,4287100
2017-02-06,105.099998,105.239998,104.529999,104.570000,100.979843,4355200
2017-02-07,104.629997,105.900002,104.629997,105.610001,101.984138,3980400
2017-02-08,105.500000,106.230003,105.250000,105.690002,102.061386,3407100
2017-02-09,105.690002,106.489998,105.019997,105.970001,102.331764,4012400
2017-02-10,105.830002,106.349998,105.589996,106.099998,102.457306,2475500
2017-02-13,106.500000,106.690002,105.879997,106.519997,102.862885,3463700
2017-02-14,106.169998,107.000000,105.669998,106.919998,103.249153,5651000
2017-02-15,105.349998,107.250000,104.769997,106.730003,103.065689,7617200
2017-02-16,107.150002,108.180000,106.320000,108.120003,104.407959,5559900
2017-02-17,107.290001,108.300003,107.209999,108.150002,104.436928,5498400
2017-02-21,108.070000,109.500000,107.949997,109.360001,105.605377,5370700
2017-02-22,109.370003,109.779999,109.169998,109.410004,105.653671,3815300
2017-02-23,109.120003,110.000000,109.120003,109.540001,105.779213,3382700
2017-02-24,109.500000,109.919998,109.330002,109.830002,106.059250,3991800
2017-02-27,109.690002,109.879997,109.230003,109.269997,105.518471,3475100
2017-02-28,109.050003,110.599998,109.050003,110.379997,106.590363,4684700
2017-03-01,109.599998,110.320000,109.169998,109.730003,106.690025,4750700
2017-03-02,109.809998,110.320000,109.430000,110.110001,107.059486,3880800
2017-03-03,110.099998,110.669998,109.650002,110.559998,107.497025,4111300
2017-03-06,109.800003,110.190002,109.430000,109.629997,106.592781,4491000
2017-03-07,109.160004,109.769997,109.000000,109.320000,106.291374,4361100
2017-03-08,109.169998,109.330002,108.470001,109.300003,106.271935,5244500
2017-03-09,109.599998,109.610001,108.910004,109.019997,105.999687,4066900
2017-03-10,109.580002,109.709999,109.279999,109.589996,106.553894,3488900
2017-03-13,109.320000,109.800003,109.029999,109.410004,106.378899,3131200
2017-03-14,109.279999,109.730003,109.120003,109.339996,106.310822,3630000
2017-03-15,109.559998,111.230003,109.500000,111.110001,108.031792,4973400
2017-03-16,111.089996,111.199997,110.529999,111.139999,108.060959,4580700
2017-03-17,111.480003,111.519997,110.930000,111.389999,108.304039,6444400
2017-03-20,111.150002,111.440002,110.809998,111.150002,108.070679,3382100
2017-03-21,111.540001,112.309998,111.470001,111.769997,108.673500,5587700
2017-03-22,112.309998,112.379997,111.570000,112.019997,108.916580,3882200
2017-03-23,111.949997,112.330002,111.669998,111.779999,108.683228,3208400
2017-03-24,111.980003,112.250000,111.790001,112.120003,109.013809,3913200
2017-03-27,111.870003,112.290001,111.570000,111.830002,108.731842,3514600
2017-03-28,111.809998,112.760002,111.639999,112.449997,109.334656,3945400
2017-03-29,112.059998,112.540001,111.970001,112.430000,109.315216,2683700
2017-03-30,112.290001,112.550003,112.000000,112.180000,109.072144,2104900
2017-03-31,112.309998,112.470001,111.830002,111.860001,108.761017,3744400
2017-04-03,111.949997,112.360001,111.459999,111.860001,108.761017,3587100
2017-04-04,111.989998,112.220001,111.629997,112.080002,108.974915,2360700
2017-04-05,112.040001,112.589996,111.690002,111.940002,108.838799,2992000
2017-04-06,112.120003,112.279999,111.419998,111.580002,108.488762,2740600
2017-04-07,111.699997,111.959999,111.440002,111.610001,108.517937,2799600
2017-04-10,111.699997,112.150002,111.410004,112.019997,108.916580,2873200
2017-04-11,111.709999,112.080002,111.349998,111.730003,108.634621,3031500
2017-04-12,112.050003,113.769997,111.900002,113.610001,110.462532,6260300
2017-04-13,113.250000,113.379997,112.650002,112.680000,109.558289,3257300
2017-04-17,112.739998,113.320000,112.680000,113.320000,110.180573,2917700
2017-04-18,113.440002,114.610001,113.400002,114.279999,111.113960,4574200
2017-04-19,114.419998,114.489998,113.480003,113.620003,110.472252,3044700
2017-04-20,113.519997,113.970001,113.389999,113.589996,110.443085,2973000
2017-04-21,113.550003,113.800003,113.269997,113.430000,110.287514,3885300
2017-04-24,114.360001,114.480003,113.910004,114.320000,111.152855,3221500
2017-04-25,114.209999,114.570000,114.000000,114.160004,110.997292,3643600
2017-04-26,111.750000,113.760002,111.339996,113.330002,110.190292,5343900
2017-04-27,113.099998,113.440002,112.510002,112.639999,109.519402,4096200
2017-04-28,112.339996,113.430000,112.190002,113.279999,110.141663,4855300
2017-05-01,112.930000,113.110001,112.269997,112.279999,109.169373,4074300
2017-05-02,112.750000,112.889999,112.070000,112.290001,109.179100,3082400
2017-05-03,112.389999,112.709999,111.699997,111.790001,108.692947,3342600
2017-05-04,112.169998,113.000000,111.809998,112.959999,109.830536,3488800
2017-05-05,113.040001,113.279999,112.739998,113.220001,110.083336,3046100
2017-05-08,113.199997,113.430000,112.779999,113.220001,110.083336,3097200
2017-05-09,113.239998,113.410004,112.550003,112.720001,109.597191,2708200
2017-05-10,112.699997,112.870003,112.480003,112.839996,109.713860,2160100
2017-05-11,112.639999,113.089996,112.529999,113.040001,109.908318,2277200
2017-05-12,112.930000,113.300003,112.720001,112.910004,109.781921,2383500
2017-05-15,112.900002,114.000000,112.769997,113.940002,110.783394,3500300
2017-05-16,114.059998,114.660004,113.589996,113.790001,110.637535,2444300
2017-05-17,113.790001,114.290001,113.320000,113.739998,110.588921,2999300
2017-05-18,113.779999,114.279999,113.290001,114.029999,110.870888,3439500
2017-05-19,114.169998,114.500000,113.459999,113.690002,110.540321,5750100
2017-05-22,113.690002,115.000000,113.690002,114.699997,111.522331,3324000
2017-05-23,114.709999,115.440002,114.709999,115.050003,111.862640,3261300
2017-05-24,115.309998,116.330002,115.120003,116.059998,112.844650,2816000
2017-05-25,116.360001,117.680000,116.150002,117.529999,114.273933,3596200
2017-05-26,117.250000,118.000000,117.199997,117.910004,114.643402,3104800
2017-05-30,117.739998,118.120003,117.500000,118.010002,114.740631,3231600
2017-05-31,116.910004,117.940002,116.870003,116.870003,114.412674,5232900
2017-06-01,116.800003,117.260002,116.059998,117.230003,114.765114,4404900
2017-06-02,117.459999,117.699997,117.040001,117.669998,115.195847,3162900
2017-06-05,117.389999,117.970001,117.050003,117.879997,115.401436,2968800
2017-06-06,117.779999,117.940002,117.459999,117.699997,115.225212,2643200
2017-06-07,117.169998,117.570000,116.820000,117.050003,114.588890,3681100
2017-06-08,117.050003,117.080002,115.589996,115.889999,113.453285,3927000
2017-06-09,115.660004,116.129997,115.360001,115.940002,113.502235,3197700
2017-06-12,115.940002,116.620003,115.940002,116.230003,113.786133,3492100
2017-06-13,115.470001,116.589996,115.470001,116.320000,113.874237,2760000
2017-06-14,116.910004,118.059998,116.830002,117.370003,114.902161,3597200
2017-06-15,117.000000,117.480003,116.510002,117.209999,114.745514,3372700
2017-06-16,117.370003,117.400002,116.300003,116.860001,114.402885,5156200
2017-06-19,117.019997,117.290001,116.230003,117.290001,114.823845,2436600
2017-06-20,117.290001,118.139999,117.180000,117.949997,115.469963,3703500
2017-06-21,117.779999,118.239998,117.239998,117.419998,114.951103,3767100
2017-06-22,117.330002,117.410004,116.050003,116.150002,113.707817,3288100
2017-06-23,116.209999,117.370003,116.089996,116.959999,114.500786,3453400
2017-06-26,117.419998,117.830002,117.059998,117.120003,114.657417,2704000
2017-06-27,117.239998,117.379997,115.940002,115.940002,113.502235,2884300
2017-06-28,116.519997,116.870003,116.199997,116.379997,113.932976,3110600
2017-06-29,116.070000,116.199997,114.889999,115.180000,112.758202,3474400
2017-06-30,115.529999,116.110001,115.300003,115.489998,113.061684,3313300
2017-07-03,115.550003,116.000000,115.339996,115.440002,113.012741,2250800
2017-07-05,115.500000,115.550003,114.879997,115.300003,112.875694,4023100
2017-07-06,114.970001,115.419998,114.849998,115.129997,112.709251,4007000
2017-07-07,115.410004,115.660004,114.830002,115.510002,113.081268,3972500
2017-07-10,115.919998,116.000000,114.199997,114.269997,111.867332,5771200
2017-07-11,113.339996,113.980003,112.250000,113.739998,111.348480,6368500
2017-07-12,114.489998,114.980003,114.279999,114.769997,112.356827,3885200
2017-07-13,114.949997,115.040001,113.919998,114.019997,111.622597,3089400
2017-07-14,114.260002,115.120003,114.250000,114.930000,112.513466,2956400
2017-07-17,114.940002,115.160004,114.839996,114.930000,112.513466,2481300
2017-07-18,114.849998,115.150002,114.389999,115.010002,112.591789,2694800
2017-07-19,115.010002,115.349998,114.629997,115.339996,112.914841,2578200
2017-07-20,115.339996,116.059998,115.110001,115.510002,113.081268,3518100
2017-07-21,115.779999,116.669998,115.379997,116.629997,114.177711,3476400
2017-07-24,116.500000,116.669998,116.089996,116.129997,113.688232,3681300
2017-07-25,116.629997,116.779999,116.139999,116.449997,114.001503,3075100
2017-07-26,116.300003,117.419998,116.150002,117.190002,114.725945,3305600
2017-07-27,117.330002,118.059998,116.620003,117.339996,114.872787,2954800
2017-07-28,117.309998,117.470001,116.199997,116.610001,114.158134,3276300
2017-07-31,116.529999,116.860001,116.180000,116.610001,114.158134,3098600
2017-08-01,116.690002,116.779999,115.900002,115.919998,113.482651,2946100
2017-08-02,115.730003,115.980003,115.139999,115.610001,113.179169,2626400
2017-08-03,115.730003,116.660004,115.680000,116.300003,113.854660,2986200
2017-08-04,116.320000,116.489998,115.870003,116.370003,113.923187,2955200
2017-08-07,116.449997,117.220001,116.379997,116.959999,114.500786,2569600
2017-08-08,116.800003,116.949997,116.370003,116.709999,114.256035,2412600
2017-08-09,116.489998,116.699997,115.959999,116.629997,114.177711,2513800
2017-08-10,116.349998,116.839996,116.080002,116.379997,113.932976,2236000
2017-08-11,116.750000,117.250000,116.349998,116.510002,114.060242,2759700
2017-08-14,117.360001,118.180000,117.010002,117.839996,115.362282,3171300
2017-08-15,117.879997,119.150002,117.849998,118.970001,116.468521,2749800
2017-08-16,118.959999,119.360001,118.820000,119.099998,116.595779,2373900
2017-08-17,119.000000,119.389999,118.250000,118.389999,115.900719,3096900
2017-08-18,118.290001,118.430000,117.400002,117.599998,115.127319,3776500
2017-08-21,117.800003,118.459999,117.550003,118.260002,115.773453,2119500
2017-08-22,118.250000,118.699997,117.650002,117.919998,115.440598,2313700
2017-08-23,117.900002,118.120003,117.230003,117.290001,114.823845,2616300
2017-08-24,117.260002,117.300003,116.029999,116.220001,113.776337,4760000
2017-08-25,116.739998,116.900002,115.800003,115.849998,113.414124,3442500
2017-08-28,116.120003,116.290001,115.080002,115.540001,113.110641,2932700
2017-08-29,115.550003,116.099998,115.510002,115.839996,113.404335,2348700
2017-08-30,115.129997,115.419998,114.910004,115.150002,113.517700,2491800
2017-08-31,115.239998,115.839996,114.930000,115.730003,114.089478,4709500
2017-09-01,115.379997,116.089996,115.150002,115.839996,114.197922,2591900
2017-09-05,115.949997,116.059998,115.410004,115.870003,114.227501,2711400
2017-09-06,116.169998,116.470001,115.639999,116.349998,114.700684,2617500
2017-09-07,116.650002,117.290001,116.389999,116.989998,115.331619,2623800
2017-09-08,116.400002,116.480003,114.570000,115.040001,113.409264,4818300
2017-09-11,115.080002,115.889999,114.760002,115.690002,114.050049,3247900
2017-09-12,115.690002,115.949997,114.860001,115.000000,113.369827,2998500
2017-09-13,114.870003,115.169998,114.000000,114.449997,112.827621,5141500
2017-09-14,114.440002,114.550003,113.699997,114.190002,112.571312,3456900
2017-09-15,114.739998,114.980003,114.110001,114.849998,113.221954,5543000
2017-09-18,115.169998,115.230003,114.680000,114.989998,113.359970,2441200
2017-09-19,115.059998,115.120003,114.360001,114.489998,112.867058,2568300
2017-09-20,114.339996,114.650002,112.739998,113.580002,111.969963,4059800
2017-09-21,113.209999,113.820000,112.540001,112.800003,111.201019,3630900
2017-09-22,112.559998,112.870003,111.809998,111.849998,110.264473,3746300
2017-09-25,112.040001,112.139999,111.419998,111.940002,110.353210,3885000
2017-09-26,112.230003,112.300003,111.730003,111.809998,110.225044,2953800
2017-09-27,111.720001,111.879997,110.339996,111.099998,109.525116,4016200
2017-09-28,111.370003,112.730003,111.190002,111.639999,110.057457,11581100
2017-09-29,111.870003,112.029999,111.209999,111.430000,109.850433,5122300
2017-10-02,109.910004,110.519997,108.959999,109.120003,107.573181,8306400
2017-10-03,109.419998,109.650002,108.889999,109.129997,107.583038,6064400
2017-10-04,106.940002,110.160004,106.190002,109.339996,107.790054,9092400
2017-10-05,109.660004,110.989998,109.550003,110.449997,108.884323,5670400
2017-10-06,110.169998,110.669998,109.919998,110.400002,108.835037,3240300
2017-10-09,110.589996,110.930000,109.790001,110.010002,108.450569,1977800
2017-10-10,110.279999,110.860001,110.279999,110.779999,109.209648,3032300
2017-10-11,110.900002,111.809998,110.769997,111.510002,109.929298,4051100
2017-10-12,111.510002,112.510002,111.379997,112.449997,110.855965,3287200
2017-10-13,112.730003,112.980003,112.180000,112.620003,111.023567,3090500
2017-10-16,112.930000,113.629997,112.690002,113.570000,111.960091,2675900
2017-10-17,113.220001,113.559998,111.660004,112.190002,110.599663,3825200
2017-10-18,111.949997,112.440002,111.779999,111.949997,110.363060,2590500
2017-10-19,111.620003,112.790001,111.599998,112.669998,111.072853,2673700
2017-10-20,113.010002,113.019997,111.379997,111.610001,110.027878,3772300
2017-10-23,111.639999,112.449997,111.400002,111.690002,110.106750,2263200
2017-10-24,111.839996,111.870003,110.279999,110.750000,109.180069,3351100
2017-10-25,110.430000,110.529999,109.180000,110.070000,108.509712,3836900
2017-10-26,110.669998,111.239998,110.410004,110.730003,109.160355,2865000
2017-10-27,110.410004,110.849998,109.930000,110.599998,109.032196,3343200
2017-10-30,110.360001,110.370003,109.360001,109.650002,108.095665,2206100
2017-10-31,110.239998,110.769997,109.949997,110.230003,108.667450,4379400
2017-11-01,109.760002,110.680000,109.610001,110.129997,108.568855,2822400
2017-11-02,109.910004,110.180000,109.540001,110.050003,108.489998,2169800
2017-11-03,110.139999,110.650002,110.000000,110.220001,108.657593,1725700
2017-11-06,109.970001,110.000000,109.190002,109.260002,107.711197,3331800
2017-11-07,109.150002,110.580002,109.150002,110.470001,108.904037,3882000
2017-11-08,110.570000,112.040001,110.500000,112.000000,110.412354,3685300
2017-11-09,111.349998,112.440002,111.019997,111.480003,109.899727,2856900
2017-11-10,111.440002,112.980003,111.309998,112.750000,111.151726,3699500
2017-11-13,112.690002,114.190002,112.639999,114.040001,112.423439,3194500
2017-11-14,113.690002,116.190002,113.589996,115.760002,114.119057,4998900
2017-11-15,115.650002,115.930000,114.309998,115.099998,113.468407,3861500
2017-11-16,115.389999,115.839996,114.940002,115.230003,113.596565,3058100
2017-11-17,114.730003,115.139999,114.529999,114.680000,113.054359,2646400
2017-11-20,114.750000,115.849998,114.709999,114.910004,113.281105,3594300
2017-11-21,114.989998,116.330002,114.970001,116.050003,114.404945,3179300
